UTC Time,Latitude,Longitude,Altitude
2023-09-12T23:26:09.095,50.7527042,6.0724172,0.957
2023-09-12T23:26:10.095,50.7527003,6.0724207,0.912
2023-09-12T23:26:11.097,50.7526987,6.072423,1.09
2023-09-12T23:26:12.099,50.7526981,6.0724257,0.997
2023-09-12T23:26:13.101,50.7526997,6.0724301,0.822
2023-09-12T23:26:14.103,50.7526916,6.072437,0.904
2023-09-12T23:26:15.105,50.7526829,6.072443,0.833
2023-09-12T23:26:16.107,50.7526841,6.0724503,0.989
2023-09-12T23:26:17.109,50.7526798,6.0724449,0.839
2023-09-12T23:26:18.112,50.752686,6.072445,0.816
2023-09-12T23:26:19.114,50.7526838,6.0724465,1.017
2023-09-12T23:26:20.117,50.7526817,6.0724478,0.912
2023-09-12T23:26:21.119,50.7526702,6.0724489,1.152
2023-09-12T23:26:22.121,50.7526625,6.0724442,1.07
2023-09-12T23:26:23.123,50.7526541,6.0724473,1.045
2023-09-12T23:26:24.125,50.7526605,6.0724555,1.217
2023-09-12T23:26:25.127,50.7526563,6.0724664,1.017
2023-09-12T23:26:26.129,50.7526589,6.0724792,0.943
2023-09-12T23:26:27.131,50.752655,6.0724943,1.175
2023-09-12T23:26:28.133,50.7526431,6.0725019,1.0
2023-09-12T23:26:29.134,50.7526317,6.0725148,0.966
2023-09-12T23:26:30.137,50.7526074,6.0725246,0.887
2023-09-12T23:26:31.139,50.7526048,6.0725288,1.178
2023-09-12T23:26:32.142,50.7526117,6.0725173,1.181
2023-09-12T23:26:33.145,50.752609,6.0725167,0.943
2023-09-12T23:26:34.147,50.7526051,6.0725146,1.226
2023-09-12T23:26:35.149,50.7526114,6.0725061,1.271
2023-09-12T23:26:36.150,50.7525955,6.0725122,1.22
2023-09-12T23:26:37.153,50.7525803,6.0725288,1.014
2023-09-12T23:26:38.156,50.7525769,6.0725253,1.031
2023-09-12T23:26:39.161,50.7525656,6.0725312,1.11
2023-09-12T23:26:40.164,50.752547,6.0725375,1.333
2023-09-12T23:26:41.168,50.7525404,6.0725414,1.452
2023-09-12T23:26:42.170,50.7525382,6.0725428,1.223
2023-09-12T23:26:43.173,50.7525203,6.0725506,1.141
2023-09-12T23:26:44.175,50.7525014,6.0725566,1.308
2023-09-12T23:26:45.178,50.7524996,6.0725553,1.328
2023-09-12T23:26:46.181,50.7524949,6.0725503,1.065
2023-09-12T23:26:47.184,50.7524878,6.0725458,1.274
2023-09-12T23:26:48.189,50.7524784,6.0725439,1.155
2023-09-12T23:26:49.192,50.7524765,6.0725442,1.313
2023-09-12T23:26:50.195,50.752483,6.0725448,0.989
2023-09-12T23:26:51.199,50.7524955,6.072538,1.164
2023-09-12T23:26:52.201,50.752506,6.072536,1.24
2023-09-12T23:26:53.204,50.7524992,6.0725465,1.158
2023-09-12T23:26:54.208,50.7525147,6.0725389,1.215
2023-09-12T23:26:55.210,50.7525269,6.0725259,1.243
2023-09-12T23:26:56.213,50.7525309,6.0725213,1.226
2023-09-12T23:26:57.217,50.7525419,6.0725151,1.209
2023-09-12T23:26:58.220,50.7525583,6.0725124,1.155
2023-09-12T23:26:59.223,50.7525667,6.0725172,1.189
2023-09-12T23:27:00.226,50.7525697,6.072513,1.356
2023-09-12T23:27:01.230,50.752587,6.072516,1.135
2023-09-12T23:27:02.233,50.7525962,6.0725179,1.09
